VALOR;FAMILIA;AÑO;MES;Fecha_recepción;Unidad_negocio;Tp_doc;Número_documento;Tp_ord;Número_orden;Observaciones;2_n_artículo;Cost_Alm;Cantidad_recibida;UM;PROVEEDOR;Número_lote_serie;C_Emision;Lead_Time
10100520936; 9;2020; 8;02/08/2020;100;OV;80926;OP;59106;0010057603;10100520936;2,969239e-01;142560;UN;2200264;27/07/2020;5,073344e+07;NA
10100520936;10;2020; 8;02/08/2020;100;OV;80926;OP;59106;0010057603;10100520936;4,241770e-01; 99792;UN;2200264;28/07/2020;3,197888e+07;NA
10100334840; 6;2020; 7;28/07/2020;100;OV;80774;OP;52593;000100005643;10100334840;1,959698e+00; 21600;UN;2708345;23072020;1,156544e+07;NA
10100533070; 6;2020; 7;28/07/2020;100;OV;80773;OP;59267;0010081052;10100533070;7,348866e+00;  5760;UN;2504724;24/07/2020;3,117436e+06;NA
10100504201; 5;2020; 7;27/07/2020;100;OV;80707;OP;58884;00100057490;10100504201;1,319662e+00; 32076;UN;2200264;18/07/2020;2,057408e+07;NA
10100504201; 7;2020; 7;27/07/2020;100;OV;80708;OP;59266;0010057490;10100504201;8,238350e-01; 51381;UN;2200264;18/07/2020;2,353389e+07;NA
10100563121;10;2020; 7;27/07/2020;100;OV;80736;OP;59267;010081052;10100563121;4,232947e+00; 10000;UN;2504724;16/07/2020;3,245436e+06;NA
10100563121; 4;2020; 7;23/07/2020;100;OV;80626;OP;59267;0100081025;10100563121;2,116473e+00; 20000;UN;2504724;16072020;1,604544e+07;NA
10100516082; 9;2020; 7;23/07/2020;100;OV;80623;OP;59267;010081025;10100516082;3,848133e-01;110000;UN;2504724;20072020;3,915655e+07;NA
10100532933; 2;2020; 7;23/07/2020;100;OV;80626;OP;59267;0100081025;10100532933;2,784833e+00; 15200;UN;2504724;20072020;2,436544e+07;NA
10100516082; 4;2020; 7;22/07/2020;100;OV;80577;OP;58258;0010081009;10100516082;4,232947e+00; 10000;UN;2504724;21/07/2020;8,045436e+06;NA
10100516082; 2;2020; 7;22/07/2020;100;OV;80578;OP;59267;001000081009;10100516082;4,232947e+00; 10000;UN;2504724;21/07/2020;1,604544e+07;NA
10100204084; 3;2020; 7;22/07/2020;100;OV;80552;OP;58920;003008;10100204084;1,693179e-01;250000;UN;2760939;CH-ALFA-0620-170 V. 26/12/2020;2,667121e+08;NA
10100204087; 5;2020; 7;22/07/2020;100;OV;80552;OP;58920;003008;10100204087;2,116473e-01;200000;UN;2760939;CH-C03-0620-170 V.27/12/2020;1,280454e+08;NA
10100204099; 3;2020; 7;22/07/2020;100;OV;80552;OP;58920;003008;10100204099;7,054911e-01; 60000;UN;2760939;CH-MDA-0720-170 V.10/10/2020;6,404544e+07;NA
10100233580; 3;2020; 7;22/07/2020;100;OV;80552;OP;58920;003008;10100233580;2,821964e-01;150000;UN;2760939;CH-D10T-0720-170 V.03/01/2021;1,600454e+08;NA
10100304123; 4;2020; 7;21/07/2020;100;OV;80521;OP;58240;000137;10100304123;3,483907e-01;121500;UN;2740340;16/08/2019;9,724544e+07;NA
10100223440;11;2020; 7;21/07/2020;100;OV;80516;OP;58499;001006305;10100223440;4,191036e-01;101000;UN;1387792;MI-NO-VIII-20;2,942725e+07;NA
10100329097; 6;2020; 7;16/07/2020;100;OV;80381;OP;58240;00137;10100329097;1,045172e+00; 40500;UN;2740340;26/06/2020;2,164544e+07;NA
10100320372; 6;2020; 7;16/07/2020;100;OV;80381;OP;58240;00137;10100320372;3,483907e-01;121500;UN;2740340;12/06/2020;6,484544e+07;NA
10100320372; 4;2020; 7;16/07/2020;100;OV;80381;OP;58240;00137;10100320372;7,465514e-01; 56700;UN;2740340;12/06/2020;4,540544e+07;NA
10100320372; 7;2020; 7;16/07/2020;100;OV;80381;OP;58240;00137;10100320372;1,741953e+00; 24300;UN;2740340;26/10/2019;1,115401e+07;NA
10100320372; 9;2020; 7;16/07/2020;100;OV;80381;OP;58240;00137;10100320372;1,306465e+00; 32400;UN;2740340;23/06/2019;1,156544e+07;NA
10100320372; 5;2020; 7;16/07/2020;100;OV;80381;OP;58240;00137;10100320372;5,225860e+00;  8100;UN;2740340;27269;5,229436e+06;NA
10100321847; 5;2020; 7;16/07/2020;100;OV;80381;OP;58240;00137;10100321847;1,045172e+00; 40500;UN;2740340;13/05/2020;2,596544e+07;NA
10100321847; 8;2020; 7;16/07/2020;100;OV;80381;OP;58240;00137;10100321847;1,741953e+00; 24300;UN;2740340;14/05/2020;9,765436e+06;NA
10100321847;10;2020; 7;16/07/2020;100;OV;80381;OP;58240;00137;10100321847;2,612930e+00; 16200;UN;2740340;24/06/2020;5,229436e+06;NA
10100321847; 5;2020; 7;16/07/2020;100;OV;80381;OP;58240;00137;10100321847;1,045172e+00; 40500;UN;2740340;23/12/2019;2,596544e+07;NA
10100329097; 4;2020; 7;16/07/2020;100;OV;80381;OP;58240;00137;10100329097;2,090344e-01;202500;UN;2740340;25/06/2020;1,620454e+08;NA
10100520936; 4;2020; 7;15/07/2020;100;OV;80320;OP;58884;00100057281;10100520936;5,239833e-01; 80784;UN;2200264;04/07/2020;6,467264e+07;NA
10100504241;11;2020; 7;15/07/2020;100;OV;80320;OP;58884;00100057281;10100504241;8,103039e-01; 52239;UN;2200264;09/07/2020;1,524224e+07;NA
10100529115; 2;2020; 7;15/07/2020;100;OV;80278;OP;59053;0010080940;10100529115;1,322796e+00; 32000;UN;2504724;07072020;5,124544e+07;NA
10100529009; 6;2020; 7;15/07/2020;100;OV;80278;OP;59053;0010080940;10100529009;1,410982e+00; 30000;UN;2504724;10072020;1,604544e+07;NA
10100504234;10;2020; 7;15/07/2020;100;OV;80278;OP;59053;0010080940;10100504234;1,410982e+00; 30000;UN;2504724;06072020;9,645436e+06;NA
10100366590; 3;2020; 7;15/07/2020;100;OV;80322;OP;58993;0010005618;10100366590;1,387851e+00; 30500;UN;2708345;14/07/2020;3,257877e+07;NA
10100366590; 9;2020; 7;15/07/2020;100;OV;80276;OP;58993;001005614;10100366590;5,039222e+00;  8400;UN;2708345;14072020;3,032103e+06;NA
10100366590;10;2020; 7;15/07/2020;100;OV;80276;OP;58993;001005614;10100366590;1,959698e+00; 21600;UN;2708345;13072020;6,957436e+06;NA
10100468852;11;2020; 7;14/07/2020;100;OV;80196;OP;58291;001001999;10100468852;1,045172e+00; 40500;UN;1253835;01-01791;1,182725e+07;NA
10100223440; 9;2020; 7;08/07/2020;100;OV;80036;OP;58499;002003072;10100223440;1,060889e-01;399000;UN;1387792;MI-NO-VII-20;1,419121e+08;NA
10100320372; 2;2020; 7;08/07/2020;100;OV;80034;OP;57160;001140;10100320372;2,890962e+00; 14642;UN;1621443;0620RL2023;2,347264e+07;NA
10100320372; 5;2020; 7;08/07/2020;100;OV;80034;OP;57160;001140;10100320372;1,282711e+00; 33000;UN;1621443;0620RL2022;2,116544e+07;NA
10100329097; 6;2020; 7;02/07/2020;100;OV;79799;OP;58240;00129;10100329097;2,090344e-01;202500;UN;2740340;25/06/2020;1,080454e+08;NA
10100320372; 5;2020; 7;02/07/2020;100;OV;79799;OP;58240;00129;10100320372;3,483907e-01;121500;UN;2740340;11/06/2020;7,780544e+07;NA
10100320372; 8;2020; 7;02/07/2020;100;OV;79799;OP;58240;00129;10100320372;3,483907e-01;121500;UN;2740340;12/06/2020;4,864544e+07;NA
10100265428; 2;2020; 7;01/07/2020;100;OV;79772;OP;56689;00100960;10100265428;4,232947e+00; 10000;UN;2707093;04/20 - V10/10/2020;1,604544e+07;NA
10100404177;10;2020; 7;01/07/2020;100;OV;79773;OP;57313;001001993;10100404177;5,835328e-01; 72540;UN;2660076;01/07/2020;2,325824e+07;NA
10100329097; 3;2020; 7;01/07/2020;100;OV;79734;OP;57157;001005590;10100329097;4,479309e-01; 94500;UN;2708345;24.25.29/06/2020;1,008454e+08;NA
10100329097; 2;2020; 7;01/07/2020;100;OV;79734;OP;57157;001005590;10100329097;6,718963e+00;  6300;UN;2708345;24.25.29/06/2020;1,012544e+07;NA
10100304122; 9;2020; 6;24/06/2020;100;OV;79567;OP;58241;0000001123;10100304122;1,044141e+00; 40540;UN;1621443;0520RL25002;1,445966e+07;NA
10100366314; 4;2020; 6;24/06/2020;100;OV;79569;OP;58241;00001123;10100366314;3,680823e+00; 11500;UN;1621443;0620RL4022;9,245436e+06;NA
10100366590; 6;2020; 6;24/06/2020;100;OV;79545;OP;58241;0001123;10100366590;1,282711e+00; 33000;UN;1621443;0620RL4018;1,764544e+07;NA
10100366590;10;2020; 6;24/06/2020;100;OV;79546;OP;58241;101123;10100366590;3,724546e+00; 11365;UN;1621443;0620RL4019;3,682236e+06;NA
10100304122; 2;2020; 6;24/06/2020;100;OV;79567;OP;58241;0000001123;10100304122;7,696267e-01; 55000;UN;1621443;0420RL25023;8,804544e+07;NA
10100504241; 2;2020; 6;24/06/2020;100;OV;79557;OP;58259;0010056926;10100504241;2,969239e+00; 14256;UN;2200264;22/06/2020;2,285504e+07;NA
10100504241; 1;2020; 6;24/06/2020;100;OV;79571;OP;58259;0010056935;10100504241;1,162929e+00; 36399;UN;2200264;22/06/2020;1,165222e+08;NA
10100330767; 9;2020; 6;24/06/2020;100;OV;79577;OP;55886;01123;10100330767;1,012667e+00; 41800;UN;1621443;0520RL25006;1,490766e+07;NA
10100330767; 7;2020; 6;24/06/2020;100;OV;79577;OP;55886;01123;10100330767;2,116473e+01;  2000;UN;1621443;0520RL25007;9,597219e+05;NA
10100366314; 9;2020; 6;24/06/2020;100;OV;79576;OP;58241;000000001123;10100366314;3,680823e+00; 11500;UN;1621443;0620RL4022;4,134325e+06;NA
10100366314; 7;2020; 6;24/06/2020;100;OV;79576;OP;58241;000000001123;10100366314;1,282711e+00; 33000;UN;1621443;0620RL4023;1,513115e+07;NA
10100366590; 4;2020; 6;24/06/2020;100;OV;79545;OP;58241;0001123;10100366590;1,282711e+00; 33000;UN;1621443;0620RL4017;2,644544e+07;NA
10100366590; 5;2020; 6;24/06/2020;100;OV;79546;OP;58241;101123;10100366590;3,848133e+00; 11000;UN;1621443;0620RL4019;7,085436e+06;NA
10100366313; 5;2020; 6;24/06/2020;100;OV;81106;OP;58241;000000001123;10100366313;3,409542e+00; 12415;UN;1621443;0620RL4021;7,991036e+06;NA
10100366313; 6;2020; 6;24/06/2020;100;OV;79569;OP;58241;000001123;10100366313;3,409542e+00; 12415;UN;1621443;0620RL4021;6,666769e+06;NA
10100366313; 2;2020; 6;24/06/2020;100;OV;81106;OP;58241;000000001123;10100366313;1,282711e+00; 33000;UN;1621443;0620RL4020;5,284544e+07;NA
10100366314; 4;2020; 6;24/06/2020;100;OV;79559;OP;58241;1123;10100366314;3,848133e+00; 11000;UN;1621443;0620RL4022;8,845436e+06;NA
10100304122;10;2020; 6;24/06/2020;100;OV;79567;OP;58241;0000001123;10100304122;3,848133e+00; 11000;UN;1621443;0420RL25023;3,565436e+06;NA
10100513212; 9;2020; 6;17/06/2020;100;OV;79380;OP;58629;0010056827;10100513212;9,579620e-01; 44187;UN;2200264;12/06/2020;1,575637e+07;NA
10100223440; 9;2020; 6;17/06/2020;100;OV;79371;OP;57318;0010006096;10100223440;4,232947e-01;100000;UN;1387792;MI-NO-VI-20;3,560099e+07;NA
10100504187; 8;2020; 6;16/06/2020;100;OV;79282;OP;58497;0010056759;10100504187;1,370418e+00; 30888;UN;2200264;05/06/2020;1,240064e+07;NA
10100504201; 6;2020; 6;16/06/2020;100;OV;79282;OP;58497;0010056759;10100504201;1,303568e+00; 32472;UN;2200264;30/05/2020;1,736384e+07;NA
10100564810; 4;2020; 6;16/06/2020;100;OV;79282;OP;58497;0010056759;10100564810;1,377778e+00; 30723;UN;2200264;05/06/2020;2,462384e+07;NA
10100223440;10;2020; 6;16/06/2020;100;OV;79285;OP;57318;00010006078;10100223440;2,821964e-01;150000;UN;1387792;MI-NO-VI-20;4,804544e+07;NA
10100520936; 7;2020; 6;16/06/2020;100;OV;79283;OP;58564;00100056759;10100520936;6,874122e-01; 61578;UN;2200264;04/06/2020;2,819538e+07;NA
10100366415; 4;2020; 6;12/06/2020;100;OV;79258;OP;57502;001100063221;10100366415;1,537520e-01;275310;UN;1663107;080620;2,202934e+08;NA
10100569065; 5;2020; 6;12/06/2020;100;OV;79237;OP;58628;0010080672;10100569065;3,745970e-01;113000;UN;2504724;08/06/2020;7,236544e+07;NA
10100569065; 4;2020; 6;12/06/2020;100;OV;79239;OP;58628;00100080672;10100569065;4,682463e+00;  9040;UN;2504724;09/06/2020;7,277436e+06;NA
10100569066; 4;2020; 6;12/06/2020;100;OV;79237;OP;58628;0010080672;10100569066;1,170616e+00; 36160;UN;2504724;09/06/2020;2,897344e+07;NA
10100522346; 3;2020; 6;12/06/2020;100;OV;79241;OP;58793;0010080683;10100522346;2,341232e+00; 18080;UN;2504724;01/06/2020;1,933077e+07;NA
10100529009; 9;2020; 6;12/06/2020;100;OV;79241;OP;58793;0010080683;10100529009;1,302445e+00; 32500;UN;2504724;21/04/2020;1,160099e+07;NA
10100504208; 6;2020; 6;12/06/2020;100;OV;79241;OP;58793;0010080683;10100504208;4,682463e+00;  9040;UN;2504724;01/06/2020;4,866769e+06;NA
10100329097; 2;2020; 6;12/06/2020;100;OV;79240;OP;57157;0010005551;10100329097;5,879093e+00;  7200;UN;2708345;09/06/2020;1,156544e+07;NA
10100522346; 7;2020; 6;12/06/2020;100;OV;79242;OP;58793;00100080683;10100522346;2,116473e+01;  2000;UN;2504724;02/06/2020;9,597219e+05;NA
10100265428; 1;2020; 6;11/06/2020;100;OV;79232;OP;58454;001000956;10100265428;4,232947e+00; 10000;UN;2707093;04/20 - V10/10/2020;3,204544e+07;NA
10100204099;11;2020; 6;11/06/2020;100;OV;79233;OP;57739;002966;10100204099;1,410982e+00; 30000;UN;2760939;CH-MDA-0520-103 V. 27/08/2020;8,772709e+06;NA
10100204087; 4;2020; 6;11/06/2020;100;OV;79233;OP;57739;002966;10100204087;2,821964e-01;150000;UN;2760939;CH-D03-0520-103 V.20/11/2020;1,200454e+08;NA
10100204084; 8;2020; 6;11/06/2020;100;OV;79233;OP;57739;002966;10100204084;1,693179e-01;250000;UN;2760939;CH-ALFA-0520-103 V.21/11/2020;1,000454e+08;NA
10100516082; 5;2020; 6;09/06/2020;100;OV;79166;OP;58258;0010080667;10100516082;5,291183e-01; 80000;UN;2504724;05/06/2020;5,124544e+07;NA
10100516082; 7;2020; 6;09/06/2020;100;OV;79167;OP;58258;00100080667;10100516082;1,058237e+00; 40000;UN;2504724;08/06/2020;1,833115e+07;NA
10100329097;10;2020; 6;09/06/2020;100;OV;79168;OP;57157;001005549;10100329097;7,054911e-01; 60000;UN;2708345;09/06/2020;1,924544e+07;NA
10100329097; 7;2020; 6;08/06/2020;100;OV;79122;OP;57157;0010005545;10100329097;7,054911e-01; 60000;UN;2708345;05062020;2,747401e+07;NA
10100532589; 4;2020; 6;04/06/2020;100;OV;79028;OP;58496;0010080641;10100532589;1,336157e+00; 31680;UN;2504724;210420;2,538944e+07;NA
10100321847; 9;2020; 6;04/06/2020;100;OV;79037;OP;58240;00112;10100321847;5,225860e-01; 81000;UN;2740340;13/05/20;2,884544e+07;NA
10100504208; 5;2020; 6;04/06/2020;100;OV;79029;OP;58517;0010080639;10100504208;1,872985e+00; 22600;UN;2504724;010620;1,450944e+07;NA
10100520936; 5;2020; 6;04/06/2020;100;OV;79031;OP;58563;000100080639;10100520936;6,689233e-01; 63280;UN;2504724;010620;4,054464e+07;NA
10100522346; 1;2020; 6;04/06/2020;100;OV;79035;OP;58563;01000080639;10100522346;4,682463e+00;  9040;UN;2504724;020620;2,897344e+07;NA
10100522346;11;2020; 6;04/06/2020;100;OV;79036;OP;58563;001080639;10100522346;9,364926e+00;  4520;UN;2504724;010620;1,360345e+06;NA
10100504250; 6;2020; 6;04/06/2020;100;OV;79030;OP;58599;00100080639;10100504250;3,674433e+00; 11520;UN;2504724;171219;6,189436e+06;NA
10100522346; 3;2020; 6;04/06/2020;100;OV;79034;OP;58563;10080639;10100522346;5,291183e+00;  8000;UN;2504724;020620;8,578769e+06;NA
10100522346; 9;2020; 6;04/06/2020;100;OV;79034;OP;58563;100080639;10100522346;1,058237e+01;  4000;UN;2504724;010620;1,467658e+06;NA
10100329097;11;2020; 6;04/06/2020;100;OV;79037;OP;58240;00112;10100329097;1,045172e+00; 40500;UN;2740340;28/05/20;1,182725e+07;NA
10100329097;10;2020; 6;04/06/2020;100;OV;79038;OP;58240;01000112;10100329097;1,258607e+00; 33632;UN;2740340;10/09/19;1,080768e+07;NA
10100304123; 3;2020; 6;04/06/2020;100;OV;79037;OP;58240;00112;10100304123;2,612930e-01;162000;UN;2740340;26/12/19;1,728454e+08;NA
10100529009;10;2020; 6;04/06/2020;100;OV;79027;OP;58509;00100080641;10100529009;1,410982e+00; 30000;UN;2504724;030620;9,645436e+06;NA
10100520936; 6;2020; 6;03/06/2020;100;OV;78978;OP;58497;0010056621;10100520936;9,058694e-01; 46728;UN;2200264;28/05/2020;2,496704e+07;NA
10100520936; 2;2020; 6;03/06/2020;100;OV;78977;OP;58497;0010056619;10100520936;2,969239e+00; 14256;UN;2200264;28/05/2020;2,285504e+07;NA
10100320372; 1;2020; 6;01/06/2020;100;OV;78914;OP;58240;0000100;10100320372;2,612930e-01;162000;UN;2740340;09/05/2020;5,184454e+08;NA
10100329097; 3;2020; 5;29/05/2020;100;OV;78816;OP;57157;001005536;10100329097;8,016944e-01; 52800;UN;2708345;26/05/2020;5,636544e+07;NA
10100422920; 9;2020; 5;28/05/2020;100;OV;78770;OP;57314;001001964;10100422920;1,144040e+00; 37000;UN;1253835;01-01790;1,320099e+07;NA
10100422920; 7;2020; 5;28/05/2020;100;OV;78770;OP;57314;001001964;10100422920;4,756120e+00;  8900;UN;1253835;01-01790;4,114007e+06;NA
10100468852; 7;2020; 5;27/05/2020;100;OV;78745;OP;58291;001001965;10100468852;1,009286e+00; 41940;UN;1253835;01-01791;1,921801e+07;NA
10100320372;10;2020; 5;26/05/2020;100;OV;78686;OP;57160;0001107;10100320372;3,483907e-01;121500;UN;1621443;26/05/2020;3,892544e+07;NA
10100320372;10;2020; 5;26/05/2020;100;OV;78686;OP;57160;0001107;10100320372;5,465393e-01; 77450;UN;1621443;26/05/2020;2,482944e+07;NA
10100568907; 3;2020; 5;26/05/2020;100;OV;78705;OP;58368;0010080555;10100568907;1,322796e+00; 32000;UN;2504724;22/05/2020;3,417877e+07;NA
10100321845; 3;2020; 5;26/05/2020;100;OV;78686;OP;57160;0001107;10100321845;3,111317e-01;136050;UN;1621443;26/05/2020;1,451654e+08;NA
10100329097; 9;2020; 5;22/05/2020;100;OV;78657;OP;57157;001005530;10100329097;7,838790e-01; 54000;UN;2708345;22/05/2020;1,924544e+07;NA
10100265428; 5;2020; 5;21/05/2020;100;OV;78615;OP;56689;001007806;10100265428;4,232947e+00; 10000;UN;2707093;04/20 V.10/10/2020;6,445436e+06;NA
10100516082;10;2020; 5;20/05/2020;100;OV;78508;OP;58258;00100080524;10100516082;2,821964e-01;150000;UN;2504724;14/05/2020;4,804544e+07;NA
10100516082;10;2020; 5;20/05/2020;100;OV;78508;OP;58258;00100080524;10100516082;2,116473e+00; 20000;UN;2504724;14/05/2020;6,445436e+06;NA
10100516082;11;2020; 5;20/05/2020;100;OV;78507;OP;58024;0010080524;10100516082;4,232947e+00; 10000;UN;2504724;14/05/2020;2,954527e+06;NA
10100329097; 7;2020; 5;20/05/2020;100;OV;78506;OP;57157;001005525;10100329097;1,045172e+00; 40500;UN;2708345;19/05/20;1,855972e+07;NA
10100329097; 6;2020; 5;20/05/2020;100;OV;78506;OP;57157;001005525;10100329097;4,275704e+00;  9900;UN;2708345;19/05/20;5,325436e+06;NA
10100564035; 9;2020; 5;18/05/2020;100;OV;78431;OP;58258;000100080463;10100564035;4,232947e+01;  1000;UN;2504724;12/06/19;4,009919e+05;NA
10100265429; 6;2020; 5;15/05/2020;100;OV;78383;OP;58155;002939;10100265429;2,821964e+00; 15000;UN;2760939;CH-D10T-0520-126. V07/11/2020;8,045436e+06;NA
10100520936; 8;2020; 5;14/05/2020;100;OV;78351;OP;58259;0010056333;10100520936;8,907716e-01; 47520;UN;2200264;12/05/2020;1,905344e+07;NA
10100564810; 8;2020; 5;14/05/2020;100;OV;78351;OP;58259;0010056333;10100564810;8,907716e-01; 47520;UN;2200264;09/05/2020;1,905344e+07;NA
10100513212; 6;2020; 5;14/05/2020;100;OV;78351;OP;58259;0010056333;10100513212;1,311566e+00; 32274;UN;2200264;12/05/2020;1,725824e+07;NA
10100326826; 1;2020; 5;14/05/2020;100;OV;78352;OP;57906;0010012188;10100326826;5,225860e-01; 81000;UN;2660076;19/03103;2,592454e+08;NA
10100326825;10;2020; 5;14/05/2020;100;OV;78352;OP;57906;0010012188;10100326825;5,385428e-01; 78600;UN;2660076;1201119;2,519744e+07;NA
